bintang,ulasan,nilai
4,"Game nya bagus,, cuma yang saya sayang kan hanya kalau main mode online habis iklan muncul seperti loading map atau pun kalau mengisi bahan bakar secara gratis, setelah iklan ketika mau main lagi animasi nya berubah menjadi hitam semua,, tolong admin di perbaiki lagi supaya lebih nyaman lagi bermainnya..",POSITIF
4,"Gamenya sangat bagus, saya juga udh main ini dari lama banget dan kadang saya suka main dengan teman teman saya. tapi cuma 1 hal yang bikin saya kecewa yaitu bug yang terjadi di ad/iklan. Ketika pengen nyeper atau narik, iklannya ga muncul dan malah mengulang kembali gamenya. saya udh nyoba berulang kali dan hasilnya tetep aja. saya udh uninstall dan install lagi game ini dan ga ada perubahan. Tolong untung developer di fix bugnya karena sangat meresahkan sekali, dan saya ga bisa mendapatkan uang kalo ga narik atau nyeper. itu saja",POSITIF
3,"Di hp saya Android 11 ada bug dimana pemutar musik tidak mengeluarkan suara padahal lagu sdh di play, suara klakson telolet yg kita ganti sendiri kdg bs bersuara kdg tidak, ganti livery mod kendaraan agak sulit, harus diulang-ulang br bisa. Semoga di versi baru bs diatasi bug2 ini",NEGATIF
5,"Gamenya udah bagus, realistis juga untuk grafiknya. Kalo bisa tambahkan lampu interior bus dan bisa costum warna atau gaya lampu interior bus biar terlihat lebih bagus dan bergaya saat mabar di server. Diusahakan saja bisa ditambahkan agar terlihat detail seperti bus² pada umunya.",POSITIF
5,"Untuk developer maleo, saya suka dengan gamenya, untuk segi grafis udah realistis, kalian wajib dwonload game bus simulator Indonesia, kalo kekurangan cuma satu, tidak ada orang di pinggir jalan, cuma itu sih kekurangannya, semoga bussid makin bagus lagi kedepan nya, sukses selalu maleo.",POSITIF
4,"Saya pengguna Vivo Y12, Android 11, kenapa sekarang ketika saya ingin memasang mod, sering terjadi bug? Dan akhirnya ngecrash. Padahal saat sebelum update semuanya lancar lancar aja gaada bug sama sekali.. semoga bisa di perbaiki lagi bug'nya min.",POSITIF
5,"Halo semua aku mau bilang game ini sangat bagus, dan aku lihat lihat banyak yang bilang game ini banyak bug, iklan, Ya iya lah bro setiap mau main narik harus pakai internet, aku aja hp ram 2 gak ada bug, iklan ya maklum lah, loading cepat, yang blng ada bug, loading lama coba tengok penyimpanan nya ya sekian terima kasih.",POSITIF
5,"Semua fitur udah bagus, grafik, penggerakan suspensi,smua sudah bagus, tapi ada yg tertinggal yaitu setting control,karna menurut saya posisi tombol kurang nyaman,contohnya seperti tombol pedal gas dan rem yg tarlalu pojok,dan posisi tombol sein kiri kanan tidak sesusai tempat karna posisi jempol kiri prioritas nya adalah memegang kendali setir,katika ingin menghidupkan sein kami berusaha untuk tidak melepas kendali setir untuk menghindari bahaya..tapi itu sangat sulit, sekian.terima kasih",POSITIF
4,"Gamenya bagus,buat main santai sangat cocok,sambil musikan makin cocok,tapi ada satu hal yang sangat sangat membuat saya tidak nyaman saat main,yaitu terkadang setelah adanya iklan mobil jadi menghitam terkadang penumpang,halte bus,map,dan bahkan hujannya jadi hitam menutupi layar,tolong ini segera diperbaiki,bug ini sangat mengganggu soalnya",POSITIF
5,"Game nya sangat bagus, grafik nya juga bagus. Ada yang kurang untuk Grafik nya tolong di perbaiki lagi saya ingin BUSSID ini seperti di Dunia nyata. Untuk grafik nya yaitu, langit/awan,pohon,rumah/toko, dll. Tolong di Ubdate lagi ya. Sya suka dg Game ini.🙏🙏😀😀",POSITIF
5,"Gamenya bagus,keren,dan salah satu rekomendasi game terbaik Indonesia. Bisa online,juga bisa offline. Pecinta game harusnya instal game ini. Saya harap,pengembang dapat meningkatkan detal kendaraan seperti kerusakan kendaraan akibat benturan,rusaknya fasilitas akibat tertabrak atau lainnya,tambahkan bangunan/bengel perbaikan mobil agar kendaraan penyok atau lainnya bisa memperbaikinya disana. Selebihnya semoga lebih maju lagi,lebih keren lagi.",POSITIF
2,"Bug motor sama kendaraan yg mendahului sangat meresahkan, sama kecepatan busnya masih kurang realistis,masa kecepatan 80 km/j ,kayak lari 40 km/j, disesuaikan lagilah. Kalo habis nonton iklan, langsung crash dan fps nya nggak stabil. Kamera untuk bus bisemania yg lantai 2, jelek banget, remnya tambahin lagilah kurang pakem, ongkos penumpang nya juga masa 2000 perorang, realistis lah mana ada ongkos 2000 antar provinsi,lucu.sama jalan yang jelek trus berlobang, tambahin ya, nanti didownload lagi.",NEGATIF
4,Bintang 4 dulu yah... Nanti kalo update yang lebih bagus nanti saya kasih bintang 5... Saran saya di luasin lagi kota-kota tambahin... bus nya lagi agar lebih banyak... Dan perbaiki bug-bug yang masih ada sangat menggangu sekali kalo ada masih ada bug nya... Tapi untuk segi control udh nyaman dan untuk grafik ya Lumayan lah... Saran tambahin kota nya aja biar ga bosen main nya dan jangan iklan Mulu setiap main... Mungkin segitu aja makasih developer 🙏👍,POSITIF
5,"Game nya bagus dari dri segi graphic bus, gameplay menarik. Cuma untuk jaringan minus, padahal saya pke indihome, minus bayar tol kadang koneksi gak stabil, sehabis nonton iklan muter nya luarbiasa lama, padahal koneksi stabil saya tes yg lain. Itu aja sih minus nya jadi bikin kurang nyaman saat bermain.",POSITIF
5,"Terima kasih Developer Maleo telah meriliskan game yang realistis sekali. Bagi saya game BUSSID ini sangatlah di rekomendasi, karena dari segi grafiknya udah real sekali dan dari segi kontrolnya juga nyaman karena sudah diberi pembatas kecepatan (Transmisi). Tapi menurut saya ada yang kurang, kalau lihat trafficnya itu pas ketabrak malah kayak mogok gitu terus jadi macet. Jadi saya minta di tingkatkan lagi game nya yg lebih real lagi ya, itu dulu infonya dan thanks🙏👍👍👍",POSITIF
2,"Untuk gameplaynya udah bagus, tapi kalo main online terlalu banyak iklan mulai dari loading gameplay, loading map, sama waktu mau kembali lagi ke menu awal setelah nyampe terminal iklan selalu muncul,terus waktu selesai loading map tiba tiba pindah tempat 😂 yg merurut saya itu menjadi kurang nyaman waktu main.saya harap sih kedepannya pas loading map bisa lebih lancar lagi nggak pindah tempat,mungkin bisa ada pertigaan/perempatan pas selesai loading map.jadi kayak nyata. Nggak langsung pindah..",NEGATIF
5,"Saran buat tim maleo, tolong kalo mabar trafiknya jangan dihilangkan, biar lebih seru. Sukses terus buat tim Maleo. Tambahan: untuk frame rate nya bisa ditingkatkan lagi jadi 6o fps atau setel manual lewat pengaturan mau 30/60 fps, mengingat hp jaman sekarang rata² sudah 90 fps.",POSITIF
5,"Ini game bagus sekali, bisa dipasang mod juga, tapi tolong tambahkan pejalan kaki/orang yang lagi beraktivitas supaya terkesan lebih hidup kotanya terus kalau bisa tolong tambahkan pohon yang agak banyak supaya kesan alamnya terasa dan tambahkan hewan sih kalau bisa, sekian dari saya dan terimakasih kepada developer game ini kalau membaca/memikirkan saran saya,sekian.",POSITIF
5,"Untuk gamenya udah bagus, perlu beberapa pengembangan seperti, menghilangkan iklan ketika berpindah provinsi karena terkadang ada yang ngebug dan terkadsng keluar dari permainan kan sedih tuh jadinya, terus kalau bisa map bali di buka yah, dan kalau bisa penumpang di jalanan di kurangi, kalau bisa di buat seperti bus malam jadi narik langsung dari stasiun, kalau bisa ditambahin lagi beberapa fitur seperti cruise control dll pasti bakalan lebih seru",POSITIF
5,"Gameplay game nya bagus dan graphic nya juga bagus🥰, mungkin yang kurang tempat nya kalo bisa di sama kan seperti asli nya, dan tambah lagi map baru/lokasi baru. Satu lagi ada bug tampilan nya tiba tiba hitam tapi bisa di atasi dengan keluar dulu game nya baru masuk lagi. Tolong di fix bug nya 🙏😥",POSITIF
5,"Gamenya bagus sudah dari dulu saya masih game ini ,tapi nanti saat update tolong tambahkan keramaian lalu lintas contoh -pejalan kaki -pedagang(untuk saat ini memang ada pedagang tapi tidak ada orangnya ,hanya barang dagangannya saja) Untuk yg lain sudah ok ,dan tolong kalau update untuk grafik lebih di maksimalkan dikit supaya bisa betah mainnya dan kalau narik tolong uang nya lebih di banyakin lagi supaya bisa enak buat modif busnya Mungkin segitu saja untuk ulasan dari saya ,semoga di baca",POSITIF
5,"Untuk gamenya sendiri sudah bagus banget walaupun ada beberapa kekurangan seperti efek aspal saat hujan (mohon tambahkan efek becek seperti yang ada di game truckers of europe, mohon tambahkan mode akap dan pariwisata (saya juga ingin ada mode busway dan tambahkan buswaynya juga, mohon tambahkan juga map² lainnya agar dapat merasakan citra rasa Indonesia.... Sekian dari saya, semoga Maleo membaca komentar saya, terima kasih. 🙏🙏🙏😇",POSITIF
3,"update v3.7 lama sekali, kekurangan bussid untuk saat ini kadang² iklan di loading map hanya keluar suara tapi layar hitam, stuck loading map, setelah iklan tidak bisa masuk gameplay. semoga nanti update 3.7 bisa menyelesaikan masalah masalah yg saya alami",NEGATIF
4,"Min mau sedikit pendapat & saran saja ya, buatku semua grafik jalan & game sudah oke keren bgt, Seperti request kota jogja juga sudah ada, hanya saran saja untuk nambah minat pemain, ""Penumpang"" didalam bus dibuat kelihatan, terutama pas lg jalan camera 1 & 3, dan dibuatkan ada ""Kondekturnya"", minim, ketika Naik turun penumpang, ""maaf"" seperti apk sebelah, biar terlihat lebih realistik lagi, saya berharap banget di pembaruan selanjutnya ya, dan saya yakin lebih banyak lagi yang tertarik deh...",POSITIF
4,"Untuk sistem penumpang lebih baik semuanya naik dari terminal, ga ada lagi naikin penumpang di pinggir jalan karna menggangu, dan sistem model busnya bisa beli lebih dari 1, contoh model XHD bisa di beli lebih dari 2x agar tidak perlu ganti2 livery skin lagi, dan tambahin map tol trans jawa dan jalur bandung nagreg makasi.",POSITIF
4,"bisa ga tambah map lagi,...tambah map untuk di bali,..klo bisa akan di kasi bintang 5,..ini game nya sangat bagus tpi kurang map bali, dan klakson mobil perlu di perbarui agar lebih nyata.,. Dan TAMBAH MAPS LAGI YANG LEBIH EXTRIME",POSITIF
4,"Gamenya bagus banget sih. Tapi ada kekurangan. Tolong di-update versi 3.7 Penambahan kota baru yang banyak, No ads di loading map biar tidak menggangu iklan, grafik baru, penambahan bus terbaru, penambahan sopir terbaru, penambahan aksesoris, dan kejar penumpang Mabar BUSSID Tolong di-update Ya, kalau SDH di-update saya kasih bintang 5. Kali ini saya kasih bintang 4 dulu. Makasih",POSITIF
3,"Enggak ada Di AppStore. Bug bnyak... Setting view driver tolong di buat lebih lengkap mirip Bus simulator ultimate yang bisa atur kanan, kiri, atas, bawah, maju, mundur... Model dasbor boring... Grafik jadul. Lebih di tingkatan lagi... Iklan over cukup seperlunya munculin iklan...",NEGATIF
5,"Untuk grafis ditingkatkan lagi, untuk pepohonan dibuat lebih bagus lagi. Tambahkan jenis kendaraan lagi, tambahkan juga jenis bus-nya (BUS MINI). Saat penumpang sudah masuk bus jangan hilang. Kasih orang jalan dipinggir jalan atau menyebrang jalan. Pasar, toko dan tempat umum dibuat ramai ada penjual dan pembeli (orang). TOLONG UNTUK DIREALISASIKAN !!!. Karena kalian (Team Maleo) meminta kami (pemain BUSSID) untuk memberikan saran dan masukan guna membuat game BUSSID bisa berkembang.",POSITIF
4,"Game ini sangat bagus .tetapi update lagi dong contoh: 1.kecepatan trafik kita yang atur,2.supir nya bisa ketempat penumpang 3. tidak ada loading map 4. Kalau nabrak bus nya rusak 5.pulau lain juga dikasih map dong contoh: Kalimantan,Papua, Sulawesi",POSITIF
3,"Maleo tolong update lagi dong gamenay ini kurang seru tolong perbaiki seperti beneran, mabarnya kurang seru gak ada kendaraan lain tolong diperbaiki tolon ditambah kendaraan ya jangan itu² aja, kotanya rumah nya juga kurang banyakkurang bagus, lalu map nya juga kurang banyak tolong di-update lagi ya gituaja kak. Oke terimakasih maleo",NEGATIF
5,"Gamenya bagus banget ada yanv kurang yaitu tidak ada pejalan kaki,rem nya kurang pakem karena saya waktu kecepatan tinggi ada penumpang ya aku gak bisa rem biasa harus pake rem tangan sama rem biasa itu juga jauhnya 4 km,tolong juga iklannya di tambahin kaya ""hidup itu menyenangkan"" terus ""terjadi kecelakaan beruntun di mana lah"" dan juga ada satu yaitu pemotor yang lewat sitinjau lauk selalu miring jadi pake lampu tanda peringatan itu saja saran saya tetapi gamenya bagus banget",POSITIF
5,Game nya sudah bagus sekali terimaksih. Namun selama saya bermain game ini kekurangan juga ada. Map nya kurang masih belom semua indonesia masuk. Dan tolong setiap perpindahan map nya jangan iklan. Klau bisa itu jalan jangan ada perpindahan lgi. Langsung kan aja jalan mya dari semua daerah. Dan tolong di buatse realistis sebisa mungkin agar kami pemain dapat lama memainkan game ini. Dan tolong orang2 di upgrade juga beri fariasi yang lain. Terimaksih,POSITIF
5,"Ni game baguss banget parah, buat game mobile bis simulator menurut saya ini paling baik daripada yg lain. Tapi ada kurangnya, game nya jadi agak suram sama horror kalo lagi malem malem terus hujan. Kalo bisa fitur cuaca nya bisa dipilih, bisa aktif atau enggak, Keseringan hujan soalnya. Trus pas hujan ada orang yg minta naek bis juga lagi. Dan kalo bisa untuk daerah jakarta ke cirebon sampe semarang. Kotanya harus lebih bervariasi sama agak beda. Jalan nya juga dibikin smoth jngan patah patah.",POSITIF
5,"Game nya bagus dan dari segi grafik juga bagus tapi saran gw untuk kendaraan lain selain kita (pada mode AKAP dan melayap) di beri liveri seperti dunia nyata Karena untuk mendownload obb saja mungkin untuk beberapa orang susah dan juga supaya lebih realistis, jadi mohon untuk updetan selanjutnya di tambah fitur ini.",POSITIF
5,"Game nya Bagus Banget😍. Tapi tolong setelah update nanti untuk grafik dipercantik lagi, untuk iklan dihilangkan dan untuk Trafiknya di perbanyak lagi supaya tambah bagus dan seru dan kalo bisa disetiap perumahan dikasih warga (orang) supaya tidak sepi ketika melintas dan saya saranin jalanya dibikin agak rusak dan berlubang supaya lebih menantang. jadi intinya kalo udah Update V.3.7 lebih bagus lagi dari yang sekarang ini🙏🙏",POSITIF
1,"Makin lama makin banyak bug, bug loading map, bug livery, bug hujan, dll. Tolong diperbaiki semua bug tersebut dan satu lagi, kurangi iklan nya!! Masa setiap loading map iklan teruss, menurutku kebanyakan iklan ini lah yang membuat bussid banyak bug.",NEGATIF
2,"Kurang update, kualitas kota dan desa kurang HD,Mobil nya kurang HD,Jalan nya kurang HD,Penduduknya gada,rumah nya dan desa nya kurang ramai,tambahin orang jalan kaki,jajan,berbelanja,ber istirahat,masih banyak bug,dan tambahin mobil mobil lain nya, jadi bosen liat itu itu terus, sekalian motor nya tambahin kurang banyak ga kaya Indonesia asli,gada macet macet nya,gada jalan pintas seperti lewat lumpur jalan becek gitu, sama rel kereta api nya,mohon di update besar besaran🙏",NEGATIF
5,"Smua nya uda cukup, tapi.. Ada saran saya untuk tambah kan maps dari sabang sampai maraoke , bus"" Di tambahin lagi acc modif & di setiap perjalanan ada gangguan dalam perjalanan, jalur kereta api, bahkan jalan yanh berlobang & berlumpur , grafik di lebih detail kan lagi supaya setiap perjalan mau jalan berlubang dan berlumpur terhilat maca asli di dunia nyata.. Pasti nya para player nya tambah semangat dan betah main di game ini, semoga saran saya di kabulkan, amin...",POSITIF
3,"Gamenya bagus, cuma terlalu banyak iklannya, masa tiap ganti map iklan mulu, baru loading iklan lagi, boleh pakai iklan tapi tolong banget di kurangin ya, terutama pas ganti map, itu kalo iklan kadang suka nge bug, bus nya jadi item semua Makasih:)",NEGATIF
5,"Game yang sangat bagus dari grafik nya. Dan ingame sangat menarik.. tapi mohon di update Aplikasi ini supaya tidak ada iklan dan perbaiki loby menjadi hd 3 dimensi , loby full LED.. supaya menarik dilihatnya...",POSITIF
4,"Game ini sangat seru, tapi,tolong agak diperbaiki dan tambah kan peta lain dan tolong untuk mabar bisa pakai mod dan saat matikan mesin,lampu segitiga tetap hidup dan lampu yang ada di jalanan agak dikurangi agar saat berkendara lebih seru.dan saat ingin Jalan selanjutnya tolong jangan loading map ok",POSITIF
3,"Untuk awalan saya ijin mengungkapkan bahwa terkadang saat saya hampir sampai tempat tujuan loading map saya error. Padahal saya sudah melewati iklan yang ditampilkan. Apakah ini salah satu kerusakan/bug dalam gamenya? Dan bisakah kerusakan ini diperbaiki? Mohon developer untuk menjawabnya. Sekian, terima kasih. 🙏🏻",NEGATIF
4,"Semoga map nya lebih lengkap ,dan bis bukan mod di tambah ,bisa makan ,kalau belum ,minimal di satu rumah makan setiap perjalanan dan penupang juga makkan ( supir nya gratis) , kalau naik kapal kapalnya yang keluarnya beda pintu banyak kendaraan lain berebut keluar , kalai mobil kecil naik dan penumpang turun ,bisa liat perjalanan ,ada kerumunan dan keneknya mengatakan tujuan misal (jakarta 2) dan kenek nya bisa turun di kendalikan otomatis bukan ngikut pintu, penumpang keliatan duduk dan dll",POSITIF
3,"Gamenya udah bagus, tapi ada bug, pada saat pemasangan mod. Saya mau pasang mod tapi kenapa saat saya meng klik tambah, tidak bisa menambahkan modnya malah gambar2 uang saya semua hilang. Tolong di fix bugnya maleo🙏",NEGATIF
4,Game nya sangat bagus sekali oh iya tolong kepada pihak Developer perbaiki lagi ini ada dikit salah ya ya itu yang ke (1) game nya patah patah mulu grapik nya ya yang ke (2) tolong tambahkan lagi mode.... ketika mau mobil nya berhenti tuh harus bisa di matiin dong ya ada tombol nya juga ya oh iya tolong dong yang ke (3) tambahkan lagi peta map nya ya seperti bandung aceh yogyakarta subang bekasi dan lainnya ya tolong kepada pihak Developer perbaiki lagi (segitu dulu dari saya ulasan nya ya ok,POSITIF
4,"game nya udah bagus, tpi ada kekurangannya yaitu, setiap loading map ,pasti ada iklan mulu jadi kesel ,terus pas kita udah login terus keluar eeh login nan nya ngilang tolong yaa untuk developper nyaa diperbaiki lagi agar tidak ada bug seperti ini lagi",POSITIF
5,"klo update tolong kasi music min, ibaratnya kita bisa nyalain lewat radio lewat koneksi wifi, atau paket data. kan ini game online benerr kan .. di euro truck simulator aja ada , lewat radio lewat koneksi wifi dan paket dataa lohh klo gk percaya cobaa sendiri .. teruss jangan lupa update posisi kursi sesuai keinginan kitaa , biar bisa lihat kanan kiri, soalnya mau lihat ke kanan ke kiri terhalang, jadi gk kelihatan ada mobil lewatt, waktu kita tolah toleh kanan kirii ...",POSITIF
5,"Game nya udah ok lah tapi aku punya permintaan : - Mod map kaya ets2 - Terus Kaya mod kendaraan nya juga bisa di custom Strobo , kepet dan dll - Kotanya tambahin Bandung , Bogor ,Tasikmalaya, Madiun , Banyuwangi dan Bali 😄🙏🙏 (Edit : tolong diperbaiki masalah patah2 / frame drop device saya tidak penuh tapi patah2 tolong diperbaiki🙏",POSITIF
3,"Game nya udah bagus, tapi ada yang kurang,yang kurang itu grafik nya lebih real,banyak map Indo,Tambahin BodyBus lain, Mabar Pake mod,terus iklan nya jangan banyak,ada mode AKAP dan Pariwisata,Trafik nya di banyakin biar rame kyk di Indo,Livery Trafik bus nya di banyakin kyk di indo,kurangin ngebugnya,Jalan Tol nya di panjangin kyk di indo,Terus ada kampung,terus ada orang lagi jalan di pinggir jalan,Tambahin orang yg lagi jalan,Trafik Bus nya bisa gaya bebas kyk di indo, Itu aja yang kurang😄🙏",NEGATIF
3,"Gamenya sudah bagus untuk bug nya lumayan hampir tidak ada bug, tetapi untuk developer mohon untuk menambahkan beberapa kota lagi yang baru dan menambah beberapa kendaraan yang baru. Untuk lainnya sudah bagus tetap semangat.....",NEGATIF
5,"Untuk penumpang dari terminal ke terminal,tambahin ciri khas dari masing masing kota,tambahin,bus yang bisa buka pintu kanan,bisa masuk rajamart,Trafiknya di real lagi,dan untuk loading map diselesaikan dulu sampai diperbatasan ,kalo gak langsung aja diperbatasan jadi enak buat main",POSITIF
5,"Game nya bagus untuk mengisi waktu luang saya, tapi tolong developer, iklannya di kurangi waktu masuk ke mode game nya dan loading map nya, saya agak terganggu karena terkadang ada iklan yang error dan tidak bisa melanjutkan game saya, dan sudah berkali-kali saya relogin karna iklan yang error tersebut, tolong developer di kurangi iklannya",POSITIF
5,"Dari sekian banyak game bus simulator yg ada, cuma bus simulator indonesia yg terbaik, dari segi grafiknya bayangan dan rute perjalanan dan jalan yg sangat mirip seperti jalan asli, bagaikan nyata. Luar biasa terus di kembangkan lagi. Kalau bisa rute nya di tambah lagi sampai aceh dan seluruh provinsi yg ada di indonesia...",POSITIF
5,Game nya keren grafic nya juga bagus . Tinggal beberapa update sih . Penambahan kota sama kalo mabar traffic nya jangn di ilangin tetep ada in . Sama kalo mabar juga bisa narik penumpang biar bisa berebut penumpang nya . Jadi biar makin seru dan lebih seru lagi .,POSITIF
4,"Maleo Ini gamenya bagus ya, tapi kenapa gak gw kasih bintang lima karena, penumpang saat masuk ke dalam bus kok gak ada orangnya kek langsung ilang gitu, mohon ya maleo untuk diperbaiki lagi untuk lainnya udh sempurna tapi, ada kekurangan ya itu tadi penumpang kok tiba² hilang gitu, tolong diperbaiki lagi pasti bagus lagi kalo keliatan penumpang nya yg ada didalam bus biar lebih keren sama tolong dong tambah kan strobo bagian belakang lebih banyak sam strobo yang didepan. Terima kasih 🙏",POSITIF
3,"Gamenya bagus, cuman jalan tol nya di buat bagus/real semua contohnya di rute Jakarta-semarang di rute itu sangat tidak nyaman karena melewati jalan yang sempit dan bangunan yang sedikit membuat suasananya menjadi suram dan kalau bisa penumpangnya di angkut di terminal semua supaya lebih enak dan nyaman:)",NEGATIF
5,"Game nya bagus sekali mod nya juga bagus sekali meskipun kalok ambil ceperan itu harus pake iklan mod truk nya bisa oleng ada berbagai janis truk dan mobil dan motor,kalo maleo tambahkan mod yang bisa di modifikasi itu akan keren pasti aku main terus tapi aku tidak lupa ngerjain PR,dan belajar,kalo maleo ngilangin loding map akan lebih 😎👍",POSITIF
5,"game terbaik buatan indonesia. masalah grafik gak perlu di pertanyakan. di lengkapi dengan ada nya fitur mod, cuman kendalanya yg perlu di perbaiki maleo, * Masih adanya bug di tiap map, * Kendaraan yg selalu rem mendadak. * Terus Penumpang tidak ada di dalam bus, 😂 Itu aja, ku kasih bintang 5 supaya lebih baik kedepan.",POSITIF
5,"Kayaknya maleo ini lagi bikin grafik yang bagus Tapi tolong update nya jangan lama"" kasihan player"" yang lain termasuk saya udah menunggu update dari maleo Kalau saran saya yang harus di perbaiki maleo Atau yang harus di tambahkan saya sebutkan di bawah ini : BUSSID : 1. Grafik 2. Mode pariwisata 3. Tilang polisi 4. mode bikin Surat Izin Mengemudi (SIM) Kami mendukung penuh karya anak bangsa Terus dan tetap semangat maleo",POSITIF
5,"Game nya bagus sih, cuma.. Ya harus butuh waktu lama buat cari duit dengan mode narik yang harus sering terhenti-henti buat narik penumpang yang sangat mengulur waktu. Dan sepertinya lebih efektif dengan adanya mode akap yang sekali penaikan penumpang di terminal. Jadi lumayan lebih menyingkat waktu dan memuaskan saat bermain game ini. Ataupun bisa efektif juga dengan menggunakan mode pariwisata asalkan dengan hasil pendapatan yang mumpuni secara perhitungan waktu dan jarak",POSITIF
3,"Masih banyak ngebug yang tiba tiba muncul. Mengganggu permainan. Padahal ruang penyimpanan nya engga penuh tapi sering kalo udah lama main dikit, muncul bug nya. Tolong developer diperbaiki sebelum kehilangan para penggemar bussid.",NEGATIF
5,untuk saya game simulator ini cukup baik tapi kekurangan nya ada di penumpang kalo menurut saya lebih baik semua penumpang di kumpulkan saja di terminal keberangkatan sama kalo mau mengambil penumpang lebih baik keluar tol saja. Tolong di upgrade di tol kalo bisa seperti real di tambah juga rest area nya. Kalau bisa setiap rest area konsep nya berbeda,POSITIF
4,"Gamenya bagus👍,tapi menurutku msh ada bug-nya di game ini yaitu di bug lalu lintas/persimpangan: itu bisanya macet, ada kecelakaan/tabrakan antar kendaraan di lalu lintas,terutama di perempatan,kecuali di lalu lintas kota. Trs ada bug di motor: yaitu motor biasa nya berhenti sendiri/mogok di jalan mengakibatkan macet. Udah itu saja bug yg pernah sy alami saat main bussid,mungkin itu saja ulasan dari sy,semoga kedepan nya bisa di perbaiki lagi.mhn maaf bila ada slh kata sekian Terima kasih🙏",POSITIF
